Time,RequestTokens,ResponseTokens
0,4808,10
0.052,3180,8
0.046189,110,27
0.042495,7433,14
0.30431,34,12
0.094193,374,14
0.159384,6985,9
0.31747,34,23
0.283271,1145,7
2.5e-05,201,24
0.099585,137,9
0.000165,7427,8
28.079982,1555,19
0.101338,3893,19
0.029918,1827,10
0.068828,394,17
0.038335,675,6
0.460381,7436,9
0.047862,158,26
0.256995,6587,18
0.020733,763,8
0.480196,1556,18
0.301761,5108,12
0.169271,159,127
0.00033,458,67
0.185005,2464,30
0.1671,4009,51
0.82026,1632,9
0.080579,2567,45
0.372034,730,36
0.26008,5108,10
0.194003,2569,7
0.045172,1832,7
0.007398,1630,9
0.09306,6587,13
0.001759,7436,6
0.099541,1044,16
0.099055,327,124
0.102972,1630,9
0.301404,3351,9
0.161469,1562,18
0.433064,3724,9
0.100217,328,43
0.054934,965,8
0.313027,6586,11
0.00735,2366,7
0.444858,328,40
0.181633,1513,29
0.299496,328,9
0.368911,2025,9
0.054628,2169,13
0.075021,74,14
0.600376,771,142
0.043747,76,18
0.475032,75,16
0.181589,527,27
0.131624,2024,97
0.469123,197,7
0.010991,109,12
0.195623,432,10
0.193472,2025,19
0.205342,6586,9
0.041551,7435,9
143.734274,2648,15
0.096145,2564,9
0.001086,3245,15
0.10115,2144,9
0.197902,2128,13
0.001835,7436,8
0.102926,250,6
0.093719,1177,23
5.4e-05,2743,38
3.502734,144,18
0.098965,88,19
0.000722,6819,82
0.102529,1179,13
0.197013,3154,9
0.000825,7435,13
0.006344,2656,11
0.0956,236,226
0.594031,90,25
0.001329,3631,15
0.0027,1901,20
0.002812,318,9
0.091958,4556,16
0.007958,5925,52
0.002038,43,33
0.002165,134,18
0.087939,163,13
0.003374,3286,15
0.000626,522,14
0.103171,583,6
2.537466,318,7
0.260297,147,17
0.000154,5025,17
0.19875,4557,9
0.100705,1468,6
0.000133,164,18
0.000969,584,24
0.502226,523,9
0.192541,61,9
0.001122,1724,11
0.008137,1891,16
2.3e-05,2507,6
0.093935,2147,22
9e-05,3066,6
0.00255,118,9
5e-05,2657,11
0.001132,4556,25
0.099143,5926,121
0.002195,7435,6
0.092139,149,20
2.60743,3658,6
0.09933,3397,7
0.00014,5927,21
0.001062,1894,7
0.091023,2647,6
0.008776,169,25
0.096921,138,29
0.096447,5928,6
0.002839,154,7
0.001333,1107,13
0.098855,1894,19
0.199675,2647,12
0.001495,1182,18
0.001695,1650,11
0.091911,5538,697
0.001185,526,7
0.200766,152,15
0.003691,4566,20
0.09786,7419,6
0.003811,46,25
0.001002,2862,13
0.091727,1724,32
0.103008,1724,16
0.004438,155,30
0.092973,81,15
0.004075,1650,13
0.000747,1364,9
0.000214,1908,22
0.001971,123,15
0.000877,81,7
0.091857,1724,15
0.006093,247,84
0.005302,3854,10
0.001199,83,6
0.095379,156,21
4.9e-05,247,71
0.095019,3066,12
9.9e-05,3517,11
0.001464,2081,6
0.002694,143,12
0.098574,2649,20
0.097461,2655,9
0.099723,1724,18
0.004971,2128,13
0.095072,3067,9
0.003985,2926,12
0.098881,1900,46
0.000281,2047,106
0.001091,5923,55
0.099145,2971,9
0.000809,2156,13
0.098711,573,6
0.001508,14,10
0.00111,232,6
0.003814,3284,7
0.091028,1364,9
0.001522,161,16
0.003128,316,23
0.193615,2084,16
0.00251,2068,11
0.00419,1180,39
0.293979,2654,17
0.004497,146,16
0.099375,318,11
0.001903,3288,10
0.096022,252,17
0.00118,35,14
0.097227,337,13
6.3e-05,109,6
0.002609,148,43
0.001217,985,27
0.002258,2136,8
0.003696,2657,7
0.19455,3289,15
0.001814,2136,12
0.094118,135,6
0.003468,181,105
0.093539,3399,10
0.005357,1067,9
0.001018,5831,11
0.000192,153,15
0.003051,527,7
0.002025,1905,17
0.011359,1293,25
0.080682,1180,6
6.2e-05,61,21
0.015359,1278,9
0.016206,65,10
0.083887,217,9
0.082998,287,9
5.6e-05,3064,15
8.1e-05,116,10
0.002554,1638,9
8.4e-05,3396,7
0.114268,2077,15
8.9e-05,4629,6
6.4e-05,1084,6
0.001145,1259,8
0.102598,7332,26
0.003353,4081,29
0.194985,1137,58
0.083648,1430,12
0.014976,596,6
0.080978,174,18
0.006358,2969,25
0.002286,2157,7
0.011457,596,67
0.079029,175,18
0.006005,108,11
0.001022,161,11
2.3e-05,3399,19
0.01447,1278,9
0.097243,296,6
0.008629,4629,6
0.000452,842,7
0.292681,220,6
6e-06,4771,16
0.198247,1059,9
6.1e-05,1087,6
0.101816,14,9
0.100682,1326,6
0.199881,627,48
0.004275,4769,9
0.193218,1326,6
0.51212,1195,9
0.09259,40,16
0.097268,2187,13
1.2e-05,4083,41
0.131123,846,12
0.105052,1260,19
0.023158,1197,6
0.138745,7435,13
0.003749,6051,13
0.49618,1196,18
0.433464,847,32
0.028839,7436,11
0.337817,1257,9
0.103808,4770,39
0.241774,847,26
0.441979,848,8
0.213084,694,155
0.200532,7435,13
0.025035,847,8
0.007882,1748,15
0.195526,7335,11
0.172522,4803,13
0.001075,1200,6
0.296655,694,16
0.002006,1490,6
0.004456,6054,6
0.095426,847,13
0.10213,1201,12
8.068023,1141,22
0.095906,377,11
0.102568,7421,13
0.092045,389,12
0.004985,1144,10
0.000717,3640,14
0.101849,968,16
0.000716,3376,118
0.092217,2436,7
0.500723,481,11
0.002586,2165,10
0.00216,103,13
1.2e-05,3548,15
0.200673,483,9
0.097742,2113,145
0.001093,2436,14
0.003669,2437,13
0.094956,1292,70
0.001185,7429,9
0.09996,7408,12
0.001046,484,10
0.001889,2575,16
0.00106,2113,123
0.093995,1282,15
0.001541,2595,186
0.097829,1852,12
0.002456,878,17
0.096876,945,9
0.005595,7419,8
0.000198,1148,39
0.000953,55,6
0.198711,239,10
0.091821,55,8
0.005733,56,9
0.800824,486,16
0.19673,176,88
0.000955,881,12
0.000265,1156,17
1.703593,971,40
7.9e-05,1006,7
1.064218,2860,239
7.5e-05,5219,8
0.028466,1922,6
0.003036,3378,8
0.064775,2872,20
0.036418,1175,9
0.058864,6606,11
0.007864,2005,13
0.03123,882,11
0.003152,881,8
0.00011,1292,70
0.059669,387,10
0.103418,2172,14
0.003936,2001,6
0.093865,387,9
0.001118,5423,9
0.000142,35,17
0.232686,879,14
0.084911,917,11
0.078331,4028,218
0.03589,3379,7
0.005515,3945,26
0.862758,89,8
0.000121,1202,7
0.000107,6607,11
0.098177,1294,6
7.4e-05,6906,302
0.000705,917,11
0.006759,1096,16
0.093826,1291,22
0.094173,50,66
0.101249,1847,8
0.006152,736,21
0.0931,5431,12
0.285734,1575,28
0.001049,727,7
0.097605,45,16
7.9e-05,2353,12
0.099113,194,6
0.00586,5881,6
0.000954,3253,73
0.090194,194,6
0.003026,1233,153
0.001768,195,13
0.005376,195,14
0.051633,2596,13
0.003203,1258,16
0.035494,5697,19
0.00025,1031,9
0.005673,5699,7
4.1e-05,1648,10
0.057024,552,12
4.2e-05,1861,9
0.037022,4681,58
0.000108,5801,7
0.00622,729,17
0.04967,879,8
0.046989,5886,8
1.2e-05,3765,9
0.001019,3760,13
0.001915,53,42
0.057262,108,15
0.706816,134,6
0.087833,7436,10
0.001128,58,13
0.298375,63,8
0.003049,1863,15
0.246478,65,16
0.096511,2670,6
0.005818,5801,91
0.100135,5801,37
0.020054,52,18
0.091668,92,15
0.083244,1291,48
0.003707,1916,9
0.013296,4030,72
0.009009,2555,11
0.029049,130,13
0.004374,768,11
0.040389,1469,10
0.002141,1879,18
0.002014,2241,10
0.000936,2976,16
7e-06,201,121
0.05127,945,9
0.000151,111,23
0.065929,53,44
0.029839,2174,8
7.8e-05,2215,16
0.063622,6611,10
2.4e-05,1747,9
0.000227,6919,16
0.037032,6646,14
0.005918,2608,33
0.160665,2553,11
0.002907,5442,11
0.031079,110,12
0.104805,324,10
0.000152,883,10
0.192364,928,6
0.102543,1292,12
0.000861,2608,34
0.000145,2123,21
0.296204,2116,33
0.101095,2287,10
0.000903,882,11
0.56417,45,11
0.104206,738,21
0.204673,859,14
0.089065,5452,10
0.005397,6478,41
0.101219,266,52
0.001121,859,22
0.001153,4035,25
0.080782,4684,6
0.011851,94,14
0.005444,6918,49
0.097554,50,20
0.006506,6608,11
0.091068,46,21
0.106466,97,10
0.190684,46,13
0.000886,5461,13
1.2e-05,4991,9
0.005041,1969,100
0.000835,4821,23
0.080525,2979,11
0.094968,1034,12
0.006959,736,12
0.096567,5801,61
0.002125,2979,19
0.003759,2242,17
0.295715,163,53
0.001234,2679,222
0.00299,1469,10
0.08947,193,11
0.000813,313,26
0.004209,5803,6
0.000161,4685,6
0.005354,1038,9
0.09062,72,9
0.100865,1469,10
0.00221,4530,11
0.003972,1650,39
1.111324,46,9
0.004129,47,12
0.101075,94,13
0.000111,5473,7
0.000128,661,22
0.299428,5473,7
0.003919,3330,21
0.000948,661,12
0.000103,1980,9
0.396951,3286,37
0.094631,94,8
0.098647,3286,19
0.007135,863,16
0.003634,865,16
0.08914,3287,9
0.003041,5590,76
0.001642,1981,7
0.101535,97,8
0.002785,2124,13
0.092927,5479,13
0.003093,50,9
0.601642,3325,12
0.096043,429,9
8.6e-05,10,7
0.000923,863,15
0.002622,5503,9
0.098137,1338,11
0.000992,3324,6
0.000158,5491,13
0.002538,1397,9
0.000853,10,16
0.00099,2130,12
0.093614,4829,16
0.001591,98,12
0.000847,863,9
0.194983,1802,15
0.003961,3326,11
5.7e-05,5511,12
0.00096,100,6
0.000881,866,18
0.098644,103,10
0.097628,2130,8
0.001104,5480,22
0.003969,7435,21
0.096502,2130,10
0.094917,50,53
0.004513,14,89
0.000137,3287,70
0.202177,7436,25
0.000273,2956,116
0.092605,866,33
0.103565,866,14
0.003982,175,361
6.7e-05,6922,300
0.093405,60,19
0.002524,15,85
0.002476,5522,12
0.003948,876,33
0.091035,1397,9
0.001045,5213,16
0.085127,74,18
0.001915,1001,12
0.013284,5533,6
0.001689,15,188
0.004844,6490,7
0.002175,301,12
7e-06,876,59
0.075359,3898,6
2.4e-05,1125,14
0.001023,3251,27
0.000985,3738,65
0.01424,3330,9
0.002387,5214,9
0.001174,4057,12
0.179952,1264,9
0.000176,1027,27
0.016088,137,15
8e-05,4057,24
0.000992,15,10
0.081958,81,10
0.017311,4990,12
0.187768,1026,17
0.010634,17,88
