Time,RequestTokens,ResponseTokens
0,6755,500
0,6725,32
0,6253,3
0,10487,402
0,26874,458
0,3135,19
0,23090,453
0,17448,610
0,4824,173
0,6506,3
0,9013,3
0,2287,316
0,7234,794
0,7319,490
0,3119,20
3052,12833,466
0,20504,929
0,16600,349
0,26337,370
0,15155,80
0,5951,420
0,11333,848
0,45918,265
0,913,355
0,6043,475
0,7460,3
0,3131,23
0,3154,21
0,13538,71
0,9416,145
0,6166,24
0,6320,548
0,87162,402
0,3174,19
0,3159,20
0,6820,26
0,2007,354
3053,3154,20
0,6306,3
0,7141,36
0,4346,20
0,3132,21
0,6169,27
0,5698,745
0,3153,25
0,4184,24
0,3066,20
0,1048,26
0,6166,23
0,6198,39
0,7111,3
0,6355,3
0,6721,29
3057,1106,240
0,6563,25
0,6598,26
0,16631,449
0,4113,24
0,6669,3
0,7490,3
0,26124,238
0,6950,25
0,6785,3
0,3803,309
0,3119,18
0,15342,344
0,6188,3
0,1475,615
0,10349,584
0,8766,1
3052,19950,105
0,9612,203
0,1065,324
0,3375,22
0,7413,23
0,6618,35
0,12091,239
0,6185,3
0,1900,587
0,2033,524
0,6520,47
0,3627,555
0,14024,227
3053,24223,587
0,14066,522
0,932,421
0,2347,355
0,3355,23
0,11035,98
0,3329,20
0,27662,459
0,15753,417
0,8947,219
0,23576,362
0,7539,415
0,38267,589
0,3133,16
0,6251,3
0,6905,3
0,7011,3
0,5386,361
0,897,324
0,6522,481
3053,7122,3
0,7307,3
0,6165,3
0,6237,3
0,19587,178
0,6345,3
0,6484,3
0,6608,28
0,13867,534
0,7932,375
0,897,57
3053,7173,3
0,6231,3
0,8347,387
0,8422,439
0,5915,542
0,3151,22
0,6717,3
0,2640,366
0,3151,27
0,3170,17
0,3180,195
0,3134,20
3053,28211,603
0,6165,25
0,2127,347
0,4230,22
0,6658,27
0,36416,255
0,2981,18
0,8077,3
0,3126,18
0,6169,25
0,4040,20
0,7379,3
0,6358,28
0,3220,19
0,6854,3
0,12149,237
3056,4386,21
0,6955,52
0,4538,362
0,7295,3
0,10748,596
0,8501,3
0,8013,1
0,9389,3
0,12914,460
0,9242,632
0,15830,629
0,953,48
0,35084,538
0,18079,387
0,1421,290
0,17793,345
3053,3235,29
0,6648,3
0,17068,440
0,49897,549
0,13612,492
0,6580,23
0,6182,34
0,6635,3
0,6639,3
0,6171,34
0,42717,464
0,7259,34
0,6256,3
0,6472,26
0,6918,3
3053,26037,578
0,915,265
0,6535,3
0,120626,580
0,6192,3
0,6247,3
0,82188,683
0,1319,514
0,4019,20
0,6168,26
0,29247,448
0,6814,3
0,3154,24
0,6178,3
0,7038,3
0,21085,563
3052,6911,24
0,11989,529
0,8552,3
0,7294,3
0,2387,621
0,1082,505
0,11521,373
0,2426,508
0,1712,31
0,3176,23
0,8613,593
0,7043,36
0,2883,613
0,7125,26
3053,3532,228
0,6777,39
0,1203,223
0,8514,232
0,6268,24
0,6176,3
0,23328,616
0,6555,3
0,895,574
0,9210,160
0,13681,358
0,22805,463
0,3156,22
0,6412,27
0,16461,182
0,3193,15
0,3149,25
0,4488,16
0,6777,25
0,8484,306
3053,3124,20
0,3120,21
0,6288,3
0,3130,18
0,1891,456
0,13180,566
0,69616,400
0,6045,89
0,15448,338
0,7952,3
0,6170,3
0,5148,494
0,7423,3
0,6648,3
